date,open,high,low,close,volume,average,barCount
2025-08-27 10:07:00-04:00,229.79,229.93,229.73,229.79,79021.0,229.808,442
2025-08-27 10:08:00-04:00,229.78,229.99,229.77,229.98,63911.0,229.899,327
2025-08-27 10:09:00-04:00,229.98,230.05,229.9,229.97,114769.0,229.972,535
2025-08-27 10:10:00-04:00,229.96,229.97,229.67,229.77,67558.0,229.792,361
2025-08-27 10:11:00-04:00,229.77,229.79,229.48,229.49,74423.0,229.657,397
2025-08-27 10:12:00-04:00,229.49,229.6,229.46,229.59,62880.0,229.531,399
2025-08-27 10:13:00-04:00,229.58,229.64,229.5,229.64,66076.0,229.564,410
2025-08-27 10:14:00-04:00,229.64,229.65,229.53,229.56,39999.0,229.579,207
2025-08-27 10:15:00-04:00,229.56,229.6,229.48,229.5,61201.0,229.545,319
2025-08-27 10:16:00-04:00,229.48,229.85,229.47,229.79,68699.0,229.688,311
2025-08-27 10:17:00-04:00,229.78,229.8,229.57,229.61,43028.0,229.662,270
2025-08-27 10:18:00-04:00,229.61,229.63,229.29,229.38,80956.0,229.409,426
2025-08-27 10:19:00-04:00,229.37,229.56,229.35,229.54,51304.0,229.438,265
2025-08-27 10:20:00-04:00,229.55,229.78,229.55,229.74,50658.0,229.684,324
2025-08-27 10:21:00-04:00,229.74,229.81,229.59,229.67,48829.0,229.692,276
2025-08-27 10:22:00-04:00,229.7,229.86,229.67,229.79,39691.0,229.755,239
2025-08-27 10:23:00-04:00,229.78,229.81,229.64,229.74,48955.0,229.713,224
2025-08-27 10:24:00-04:00,229.73,229.9,229.69,229.83,63501.0,229.786,383
2025-08-27 10:25:00-04:00,229.84,229.91,229.78,229.86,71502.0,229.856,382
2025-08-27 10:26:00-04:00,229.85,230.03,229.81,229.94,90547.0,229.945,376
2025-08-27 10:27:00-04:00,229.95,230.07,229.92,230.06,83837.0,230.008,377
2025-08-27 10:28:00-04:00,230.06,230.1,229.85,229.86,72870.0,229.972,352
2025-08-27 10:29:00-04:00,229.87,230.04,229.83,230.02,54921.0,229.961,298
2025-08-27 10:30:00-04:00,230.02,230.24,229.98,230.23,86992.0,230.103,451
2025-08-27 10:31:00-04:00,230.24,230.31,230.18,230.3,94324.0,230.249,457
2025-08-27 10:32:00-04:00,230.3,230.32,230.09,230.11,68698.0,230.218,365
2025-08-27 10:33:00-04:00,230.11,230.12,230.0,230.08,58175.0,230.051,323
2025-08-27 10:34:00-04:00,230.08,230.09,230.02,230.04,43936.0,230.047,243
2025-08-27 10:35:00-04:00,230.07,230.32,230.02,230.32,78933.0,230.191,448
2025-08-27 10:36:00-04:00,230.31,230.42,230.23,230.39,86769.0,230.341,413
2025-08-27 10:37:00-04:00,230.39,230.48,230.37,230.48,87504.0,230.429,446
